"Ticks","ArticleTitle","Title","AbstractText","DOI","city","year","notes","ID"
"other things","Rickettsia monacensis sp. nov., a spotted fever group Rickettsia, from ticks (Ixodes ricinus) collected in a European city park.","Applied and environmental microbiology","We describe the isolation and characterization of Rickettsia monacensis sp. nov. (type strain, IrR/Munich(T)) from an Ixodes ricinus tick collected in a city park, the English Garden in Munich, Germany. Rickettsiae were propagated in vitro with Ixodes scapularis cell line ISE6. BLAST analysis of the 16S rRNA, the citrate synthase, and the partial 190-kDa rickettsial outer membrane protein A (rOmpA) gene sequences demonstrated that the isolate was a spotted fever group (SFG) rickettsia closely related to several yet-to-be-cultivated rickettsiae associated with I. ricinus. Phylogenetic analysis of partial rompA sequences demonstrated that the isolate was genotypically different from other validated species of SFG rickettsiae. R. monacensis also replicated in cell lines derived from the ticks I. ricinus (IRE11) and Dermacentor andersoni (DAE100) and in the mammalian cell lines L-929 and Vero, causing cell lysis. Transmission electron microscopy of infected ISE6 and Vero cells showed rickettsiae within the cytoplasm, pseudopodia, nuclei, and vacuoles. Hamsters inoculated with R. monacensis had immunoglobulin G antibody titers as high as 1:16,384, as determined by indirect immunofluorescence assay. Western blot analyses demonstrated that the hamster sera cross-reacted with peptides from other phylogenetically distinct rickettsiae, including rOmpA. R. monacensis induced actin tails in both tick and mammalian cells similar to those reported for R. rickettsii. R. monacensis joins a growing list of SFG rickettsiae that colonize ticks but whose infectivity and pathogenicity for vertebrates are unknown.","10.1128/AEM.68.9.4559-4566.2002","Munich",2002,"","TIC000210"
"other things","Close geographic association of human neoehrlichiosis and tick populations carrying ""Candidatus Neoehrlichia mikurensis"" in eastern Switzerland.","Journal of clinical microbiology","Neoehrlichiosis caused by ""Candidatus Neoehrlichia mikurensis"" is an emerging zoonotic disease. In total, six patients have been described in Europe, with the first case detected in 2007. In addition, seven patients from China were described in a report published in October 2012. In 2009, we diagnosed the first human case of ""Ca. Neoehrlichia mikurensis"" infection in the Zurich area (Switzerland). Here, we report two additional human cases from the same region, which were identified by broad-range 16S rRNA gene PCR. Both patients were immunocompromised and presented with similar clinical syndromes, including fever, malaise, and weight loss. A diagnostic multiplex real-time PCR was developed for specific detection of ""Ca. Neoehrlichia mikurensis"" infections. The assay is based on the signature sequence of a 280-bp fragment of the ""Ca. Neoehrlichia mikurensis"" 16S rRNA gene and incorporates a ""Ca. Neoehrlichia mikurensis"" species, a ""Ca. Neoehrlichia"" genus, and an Anaplasmataceae family probe for simultaneous screening. The analytical sensitivity was determined to be below five copies of the ""Ca. Neoehrlichia mikurensis"" 16S rRNA gene. Our results show that the assay is suitable for the direct detection of ""Ca. Neoehrlichia mikurensis"" DNA in clinical samples from, for example, blood and bone marrow. In addition, it allows for monitoring treatment response during antibiotic therapy. Using the same assay, DNA extracts from 1,916 ticks collected in four forests in close proximity to the patients' residences (&lt;3 km) were screened. At all sampling sites, the minimal prevalence of ""Ca. Neoehrlichia mikurensis"" was between 3.5 to 8% in pools of either nymphs, males, or females, showing a strong geographic association between the three patients and the assumed vector.","10.1128/JCM.01955-12","Zürich",2012,"","TIC000211"
"other things","Isolation by a sensitive centrifugation cell culture system of 52 strains of spotted fever group rickettsiae from ticks collected in France.","Journal of clinical microbiology","Boutonneuse fever caused by Rickettsia conorii is transmitted mainly by the brown dog tick, Rhipicephalus sanguineus. We collected 540 ticks in Marseille, France, and tried to isolate as many strains of rickettsia as possible. Ticks were evaluated for the presence of rickettsia by the hemolymph test and by a new culture system, the centrifugation-shell vial technique. We avoided contamination in the culture system. Prior to ticks being submitted to the hemolymph test, they were disinfected. Only 5.6% (27 of 478) of the cultures were contaminated. A drop of hemolymph from each of 478 R. sanguineus ticks was cultured in two shell vials, and another drop was stained by the Gimenez method or indirect immunofluorescence. Since Gimenez staining in our hands was not satisfactory, comparison of the hemolymph test and culture is based on the results of indirect immunofluorescence. Thus, 50 of 369 (13.5%) examined ticks were hemolymph test positive, and 44 (11.9%) cultures were positive. After disinfection, another pool of 62 ticks were examined by the hemolymph test. The ticks were kept individually in a sterile environment. A few days later, the hemolymph of these ticks was collected again and cultured. The contamination rate was not significantly higher (6.4%) than in the above-described conditions. It allowed us to isolate eight more strains. Thus, we recommend screening ticks with the hemolymph test and culturing only the hemolymph test-positive ticks.","10.1128/jcm.28.7.1597-1599.1990","Marseille",1990,"","TIC000212"
"other things","Genetic diversity of Borrelia burgdorferi sensu lato in ticks from mainland Portugal.","Journal of clinical microbiology","To date Borrelia lusitaniae is the only genospecies of Borrelia burgdorferi sensu lato isolated from Ixodes ricinus ticks collected in Portugal and Tunisia. This suggests that the genospecies diversity of B. burgdorferi sensu lato decreases toward the southwestern margin of its Old World subtropical range. In order to further explore the genetic diversity of B. burgdorferi sensu lato from this region, 55 I. ricinus and 27 Hyalomma marginatum questing adults, collected during the spring of 1998 from a sylvatic habitat south of Lisbon, Portugal, were analyzed. Infection prevalences of 75% in I. ricinus ticks and 7% in H. marginatum ticks were detected by a nested PCR that targets the rrf (5S)-rrl (23S) spacer of B. burgdorferi sensu lato. Restriction fragment length polymorphism (RFLP) analysis of the I. ricinus-derived amplicons showed that the sequences in the majority of samples were similar to those of B. lusitaniae type strains (76% for strain PotiB1, 5% for strain PotiB3). Two novel RFLP patterns were obtained from 12% of the samples. The remaining 7% of samples gave mixed RFLP patterns. Phylogenetic analysis of rrf-rrl spacer sequences revealed a diverse population of B. lusitaniae in questing adult I. ricinus ticks (the sequences did not cluster with those of any other genospecies). This population consisted of 10 distinct sequence types, suggesting that multiple strains of B. lusitaniae were present in the local I. ricinus population. We hypothesize that B. lusitaniae has a narrow ecological niche that involves host species restricted to the Mediterranean Basin.","10.1128/JCM.38.6.2128-2133.2000","Lisbon",2000,"","TIC000213"
"other things","Evaluation of eight rapid screening tests for acute leptospirosis in Hawaii.","Journal of clinical microbiology","Leptospirosis is a major public health problem throughout the world. Clinical recognition of leptospirosis is challenging, and the definitive serologic diagnostic assay, the microscopic agglutination test, is time-consuming and difficult to conduct. Various serologic screening tests have been developed, but their performance among ill persons in the United States has not been established. Eight screening tests were compared using 379 serum samples obtained in 1998 and 1999 from a series of 236 patients (33 with confirmed infection). The median number of days between illness onset and specimen collection was 9. The overall sensitivity, by specimen, for each test was as follows: indirect hemagglutination assay (MRL Diagnostics, Cypress, Calif.), 29%; INDX Leptospira Dip-S-Tick (PanBio InDx, Inc., Baltimore, Md.), 52%; Biognost IgM IFA test (Bios GmbH Labordiagnostik, Gr&#xe4;felfing, Germany), 40%; Biolisa IgM ELISA (Bios GmbH, Labordiagnostik), 48%; Leptospira IgM ELISA (PanBio Pty Ltd., Brisbane, Australia), 36%; SERION ELISA classic Leptospira (Institut Virion*Serion GmbH, W&#xfc;rzburg, Germany), 48%; LEPTO Dipstick(Organon-Teknika, Ltd., Amsterdam, The Netherlands), 34%; Biosave latex agglutination test (LATEX; Bios GmbH Labordiagnostik), 86%. Test specificity ranged from 85 to 100% among all tests except LATEX, for which the specificity was significantly lower, at 10%. Test sensitivity was particularly low (&lt;25%) for all tests (except LATEX) on specimens collected during the first week of illness. This is the most comprehensive field trial of leptospirosis screening tests reported to date. The data indicate that immunoglobulin M detection tests have limited utility for diagnosing leptospirosis during the initial evaluation of patients seen in Hawaii, a time when important therapeutic decisions are made. Improved leptospirosis screening tests are needed.","10.1128/JCM.40.4.1464-1469.2002","Amsterdam",2002,"","TIC000214"
"other things","Genome Sequence of ""<i>Candidatus</i> Rickettsia colombianensi,"" a Novel Tick-Associated Bacterium Distributed in Colombia.","Microbiology resource announcements","This is the first report of the genome sequence of ""<i>Candidatus</i> Rickettsia colombianensi"" strain Adcor 2, deposited in DDBJ/ENA/GenBank under the accession number RAQN00000000 The draft genome showed 36.01% similarity with that of <i>Rickettsia monacensis</i> strain IrR/Munich (NCBI accession number LN794217), 37.81% similarity with that of <i>Rickettsia heilongjiangensis</i> 054 (NCBI accession number CP002912), and 43.88% similarity with that of <i>Rickettsia tamurae</i> AT-1 (NCBI accession number CCMG01000001).","10.1128/MRA.01433-18","Munich",2019,"","TIC000215"
"other things","More than burnout: qualitative study on understanding attrition among senior Obstetrics and Gynaecology UK-based trainees.","BMJ open","Workforce retention among UK-based Obstetrics and Gynaecology (O&amp;G) trainees has been a particular concern for a number of years, with 30% trainees reportedly leaving specialty training. With specialty focused research being limited and tending to analyse the training programme as a whole. The aim of this study was to explain why senior O&amp;G trainees within reach of completing training were leaving the specialty.Qualitative study based on Constructivist Grounded Theory methodology using semi-structured interviews. Data collection and analysis continued until theoretical saturation was achieved. The key themes were used to build an explanatory model, in the form of a concept map for attrition.London.Nine senior O&amp;G trainees (ST5-7) of which six were committed to the specialty, two were not going to pursue a consultancy post once training was complete and one ex-trainee.Five major themes emerged from the study, of which four; 'Just get on with it', 'Just a number', 'Tick-box exercise' and 'It has not happened to me but&#x2026;' were described by all participants. However, the final theme, relating to the lack of professional identity, 'I did not see myself as an Obstetrician and Gynaecologist' was only demonstrated among those who had left or were not going to pursue a consultancy post once training was complete. Potential strategies for facilitating professional identity development were focused into three areas; establishing meaningful connections, adequate support mechanisms and regional initiatives.Previous research on attrition in the medical profession have suggested burnout and the lack of resilience as being the key factors for leaving training. However, based on this study's findings, an alternative pathway related to the lack of professional identity has been proposed for senior O&amp;G trainees.This study was registered at King's College London, Kings Reference: LRU-18/19-10632 and was awarded ethical approval through the Research Ethics Committee (REMAs).","10.1136/bmjopen-2021-055280","London",2022,"","TIC000216"
"other things","Introduction of a Venous Thromboembolism Prophylaxis Protocol for Older Adult Psychiatric Patients.","BMJ quality improvement reports","Hospital-Acquired venous thromboembolism (VTE) is a common cause of morbidity and mortality in older adults. In psychiatric patients these risks are increased due to multiple factors including poor mobility, restraint, catatonia, sedation, and conventional antipsychotic use. Diagnosis and treatment of psychiatric patients presenting with signs and symptoms of a VTE can be delayed due to a patient's communication difficulties, non-compliance, or attribution of symptoms to a psychosomatic cause. However, despite the increased risk, approved VTE prophylaxis protocols are infrequently used on Psychiatric wards. On one Older Adult Psychiatric Ward, two patients presented with VTE (a fatal pulmonary embolism and a symptomatic deep vein thrombosis) over a 6 month period demonstrating the necessity for prophylactic assessment. A baseline audit over 3 months showed that 63-83% of patients on the ward had received no assessment of VTE risk, on any given week, although this improved slightly following the critical incidents. A VTE prophylaxis protocol, based on NICE guidance for VTE risk assessment in Medical and Surgical patients, was developed with consideration given to additional Psychiatric risk factors. This took the form of a pro-forma with a tick-box design that included mobility assessment, VTE risk factors, bleeding risk factors, and guidance on prescribing decisions. This was implemented on an Older Adult Psychiatric ward and prophylaxis was provided to those meeting the threshold. Weekly audit of all pro-formas (including assessments completed within 48 hours of admission and prophylaxis prescription) was conducted after the pro-forma introduction from 1st February 2013 to 24th May 2013. Frequency of assessments increased after protocol implementation with between 36% and 85% of all patients being assessed for VTE risk post intervention. Fluctuations in numbers assessed may have related to ward pressures, staff changes, and practicalities of pro-forma use. After completion of the PDSA cycles the initiative was handed over to a specialist registrar for implementation across the other trust Older Adult Psychiatry wards, and further audit was planned to be conducted via junior doctors and established Quality Assurance systems. Discussion of integration of a condensed pro-forma into the trust electronic notes system is ongoing.","10.1136/bmjquality.u205852.w3226","Nice",2015,"","TIC000217"
"other things","Understanding reasons for non-compliance in motorcycle helmet use among adolescents in Greece.","Injury prevention : journal of the International Society for Child and Adolescent Injury Prevention","To explore attitudes towards two-wheel motorized vehicle (TWMV) helmet use among adolescents in a country with poor legal compliance.Self-administered questionnaires were completed by 523 high school students to define the sample of a qualitative study; thereafter, the Health Belief Model (HBM) was applied in 12 focus groups comprising 70 students.Three randomly selected public secondary schools in middle-income areas of Athens, Greece.Students reporting frequent helmet use were characterized by a high perceived threat of a TWMV-related injury, which seemed to be associated with both prior experience of an injury and receiving information on helmet wearing from ""significant others."" Students reporting helmet non-use were characterized by a low threat perception, possibly attributable to adolescent egocentrism and accompanying feelings of invulnerability or to lack of knowledge and experience in risk identification. A sharp contrast was noted regarding the most important perceived benefit of helmet use, expressed among users as ""protection in the case of a road crash"" and among non-users as ""avoiding tickets from traffic police"". Main barriers to helmet use, as identified by non-users, included: low perceived efficacy of helmets; peer pressure; lack of appropriate information on helmet use; high helmet cost; lack of convenience; vision and hearing disturbance; and style reasons.When social norms of low compliance to safety laws prevail, qualitative research can assist in developing tailored educational interventions targeting behavior modification among adolescents.","10.1136/ip.2008.019356","Athens",2009,"","TIC000218"
"other things","Family meals can help children reach their 5 a day: a cross-sectional survey of children's dietary intake from London primary schools.","Journal of epidemiology and community health","This study aims to explore how the home food environment and parental attitudes and values affect children's fruit and vegetable (F&amp;V) intake.The sample consists of 2383 children with a mean age of 8.3 years (95% CI 8.2 to 8.3) attending 52 primary schools in London. These children are taking part in two randomised controlled trials to evaluate a school gardening programme. Diet was assessed using a validated 24-h food tick list, the Child And Diet Evaluation Tool (CADET).The CADET tool found that children consumed on average 293 g F&amp;V (95% CI 287 to 303) per day. Clustered (by school) multilevel regression models with total F&amp;V as the primary outcome were conducted to explore how the home environment affects children's F&amp;V intake. Children of families who reported 'always' eating a family meal together at a table had 125 g (95% CI 92 to 157; p=&lt;0.001) more F&amp;V than families who never ate a meal together. Daily consumption of F&amp;V by parents was associated with higher F&amp;V (88 g, 95% CI 37 to 138) intake in children compared with rarely/never consumption of F&amp;V by parents. Cutting up fruit and vegetables for children was associated with higher consumption. Families who reported always cutting up F&amp;V for their children had 44 g (95% CI 18 to 71) more F&amp;V than families who never cut up F&amp;V.This study identified that cutting up F&amp;V and family consumption of F&amp;V facilitates children's intake. Eating a family meal together regularly could increase children's F&amp;V intake and help them achieve the recommended intake.ISRCTN11396528.","10.1136/jech-2012-201604","London",2012,"","TIC000219"
"other things","Have ignorance and abuse of authorship criteria decreased over the past 15 years?","Journal of medical ethics","A high prevalence of authorship problems can have a severe impact on the integrity of the research process. We evaluated the authorship practices of clinicians from the same university hospital in 2019 to compare them with our 2003 data and to find out if the practices had changed.Practitioners were randomly selected from the hospital database (Hospices Civils de Lyon, France). The telephone interviews were conducted by a single researcher (HM) using a simplified interview guide compared with the one used in 2003. The doctors were informed that their answers would be aggregated without the possibility of identifying the respondents. During the interviews, the researcher ticked the boxes with the answers on a paper file.We interviewed 26 clinicians (mean age 49&#xb1;8 years) from various medical specialties. They were unfamiliar with the ICMJE (International Committee of Medical Journal Editors) criteria for writing medical articles and felt that these criteria were not well met in general. With regard to ways of reducing the practice of honorary authors, the participants clearly felt that asking for a signature was hypocritical and of little use. The ghost authors were well known; this practice was considered as rather rare. The 'publish or perish' has always been cited as being responsible for bad practices (26/26: 100%). We compared these results with those observed in 2003 and no improvement has been observed in the past 15 years.For the second time in France, within a 15-year interval, we have shown that the ICMJE criteria were ignored and that honorary authorship was frequent.","10.1136/medethics-2019-105737","Lyon",2019,"","TIC000220"
"other things","A typhus-like illness caused by acute HIV seroconversion.","Postgraduate medical journal","A patient is described in whom an acute human immunodeficiency virus seroconversion illness occurred following a trip to southern Africa. The presentation was strikingly similar to that of African tick typhus and could only be distinguished by serological testing.Physicians admitted a 27-year-old man to the Hospital for Tropical Diseases in London, England because he had had a fever for 2 days (39 degrees Celsius) and a generalized erythematous maculo-papular rash for 1 day. These symptoms appeared soon after returning from a 5-month visit to Botswana, South Africa, and Zimbabwe. Much of his visit included visits to rural areas where insects bit him frequently. He experienced vaginal intercourse with some women, but did use condoms each time. He had his last sexual experience 10 days before becoming ill. When the physicians examined the patient, they noted many small palatal ulcers, bilateral inguinal lymphadenopathy, and a 5 mm diameter nontender ulcer of the glans penis. At this point, they believed he suffered from tick typhus and primary syphilis. Laboratory tests showed 29% of his white blood cells to be lymphocytes and Treponema pallidum in the penile ulcer exudate. The physicians then prescribed daily intramuscular injections of 600 mg procaine penicillin for 10 days. The rash vanished 2 days and the fever and ulcers vanished 5 days after treatment began. Blood tests later done while still in the hospital revealed him to be HIV-I p24 antigen positive, but anti-HIV-I and -II negative. 2 months later, however, he tested HIV-I positive, but negative for rickettsiae, arboviruses, cytomegalovirus, and enteroviruses. Since he later tested HIV positive and negative for pathogens causing typhus, it was concluded that his typhuslike illness was a result of acute HIV seroconversion. Other physicians have also noted similar manifestations of seroconversion in HIV positive patients. They recommended that physicians should consider HIV seroconversion illness when a patient who recently traveled to the tropics or is sexually active exhibits an acute febrile condition with maculo-papular rash.","10.1136/pgmj.67.783.92","London",1991,"","TIC000221"
"other things","Establishment of the tropical dog tick, Rhipicephalus sanguineus, in a house in London.","The Veterinary record","","10.1136/vr.116.25.661","London",1985,"","TIC000222"
"other things","Mediterranean spotted fever in southeastern Romania.","BioMed research international","Although cases of Mediterranean spotted fever (MSF) have been reported for decades in southeastern Romania, there are few published data. We retrospectively studied 339 patients, diagnosed with MSF at the National Institute of Infectious Diseases ""Prof. Dr. Matei Bals"" between 2000 and 2011, in order to raise awareness about MSF in certain regions of Romania. According to the Raoult diagnostic criteria 171 (50.4%) had a score &gt;25 points. Mean age was 52.5 years. One hundred and fifty-five (90.6%) patients were from Bucharest and the surrounding region. Almost all patients presented with fever (99.4%) and rash (98.2%), and 57.9% had evidence of a tick bite. There were no recorded deaths. Serologic diagnosis was made by indirect immunofluorescence assay. Of the 171 patients, serology results for R. conorii were available in 147. One hundred and twenty-three (83.7%) of them had a titer IgG &#x2265;1:160 or a fourfold increase in titer in paired samples. MSF is endemic in southeastern Romania and should be considered in patients with fever and rash even in the absence of recognized tick exposure. Since the disease is prevalent in areas highly frequented by tourists, travel-associated MSF should be suspected in patients with characteristic symptoms returning from the endemic area.","10.1155/2013/395806","Bucharest",2013,"","TIC000223"
"other things","[Infections due to Toscana virus, West Nile virus, and other arboviruses of interest in Europe].","Enfermedades infecciosas y microbiologia clinica","Arbovirosis, viral infection transmitted by arthropods, is a widespread health problem. Recurrent outbreaks caused by some of these viruses such as dengue or West Nile strains in regions where they do not appear frequently, justify the establishment of global control measures. Tick-borne encephalitis viruses, sand fly fever viruses (Toscana, Naples and Sicily) and occasionally West Nile and Crimean-Congo fever viruses are the most frequent causes of arbovirosis in Europe, although circulation of other potentially pathogenetic viruses such as Chikungunya has also been detected. The only native arbovirosis described in Spain is infection produced by Toscana virus, which causes aseptic, usually benign meningitis. Nevertheless, some West Nile virus-associated meningo-encephalitis cases have been described in France, Portugal and countries in the Magreb region, increasing the risk of sporadic occurrence of these processes in our country. To achieve an accurate diagnosis, high clinical suspicion is required as well as highly specific laboratory techniques, mainly based on IgM detection, RT-PCR and viral culture of CSF and/or serum.","10.1157/13080267","Naples",2005,"","TIC000224"
"other things","Galactose-&#x3b1;-1,3-Galactose Allergy Is Not a Hitherto Unrecognized Cause of Chronic Spontaneous Urticaria.","International archives of allergy and immunology","Tick bite-induced galactose-&#x3b1;-1,3-galactose (&#x3b1;-Gal) IgE and subsequent ingestion of red meat may cause delayed severe allergic reactions including urticaria, gastrointestinal symptoms or anaphylaxis. We tested the hypothesis that increased levels of IgE to &#x3b1;-Gal due to tick bites and the subsequent ingestion of red meat or meat products may possibly be an un(der)recognized cause of chronic spontaneous urticaria (CSU).Levels of IgE to &#x3b1;-Gal and total IgE were measured (ImmunoCAP, Phadia AB/Thermo Fisher Scientific) in 83 patients (61 female and 22 male, median age 43 years, range 18-82) from the Department of Dermatology and Allergy, Charit&#xe9; - Universit&#xe4;tsmedizin, Berlin, Germany. All had been clinically diagnosed with moderate-to-severe CSU of a median duration of 2.9 years (range 0.1-50).Eighty of the 83 patients (96%) had undetectable (&lt;0.1 kUA/l) serum levels of IgE against &#x3b1;-Gal. The levels in the remaining 3 were all low (0.25, 0.4 and 3.1 kUA/l). In no patient, including those with measurable serum levels of IgE against &#x3b1;-Gal, was eating red meat associated with the development of symptoms of urticaria.Our results indicate that an allergic response to &#x3b1;-Gal is highly unlikely to be a hitherto unrecognized common cause of CSU.","10.1159/000440653","Berlin",2015,"","TIC000225"
"other things","The validity of the Annual Review of Competence Progression: a qualitative interview study of the perceptions of junior doctors and their trainers.","Journal of the Royal Society of Medicine","Objective To investigate trainee doctors' and trainers' perceptions of the validity of the Annual Review of Competence Progression (ARCP) using Messick's conceptualisation of construct validity. Design Qualitative semi-structured focus groups and interviews with trainees and trainers. Setting Postgraduate medical training in London, Kent Surrey and Sussex, Yorkshire and Humber, and Wales in November/December 2015. Part of a larger study about the fairness of postgraduate medical training. Participants Ninety-six trainees and 41 trainers, comprising UK and international medical graduates from Foundation, General Practice, Medicine, Obstetrics and Gynaecology, Psychiatry, Radiology, and Surgery, at all levels of training. Main outcome measures Trainee and trainer perceptions of the validity of the ARCP as an assessment tool. Results Participants recognised the need for assessment, but were generally dissatisfied with ARCPs, especially UK graduate trainees. Participants criticised the perceived tick-box nature of ARCPs as measuring clerical rather than clinical ability, and which they found detrimental to learning. Trainees described being able to populate their e-portfolios with just positive feedback; they also experienced difficulty getting assessments signed off by supervisors. ARCPs were perceived as poor at identifying struggling trainees and/or as discouraging excellence by focussing on minimal competency. Positive experiences of ARCPs arose when trainees could discuss their progress with interested supervisors. Conclusions Trainee and trainer criticisms of ARCPs can be conceptualised as evidence that ARCPs lack validity as an assessment tool. Ongoing reforms to workplace-based assessments could address negative perceptions of the 'tick-box' elements, encourage constructive input from seniors and allow trainees to demonstrate excellence as well as minimal competency, while keeping patients safe.","10.1177/0141076817690713","London",2017,"","TIC000226"
"other things","What do parents and carers think about routine outcome measures and their use? A focus group study of CAMHS attenders.","Clinical child psychology and psychiatry","Currently service user involvement in routine outcomes monitoring has been minimal, particularly in Children's services. There needs to be a more sustained effort to involve service users because of the valuable information that they could provide for service development and improvement. Focus groups were conducted with service users, including parents, carers and young people from a London CAMHS. Their views were elicited on routine outcomes monitoring in general, three specific approaches and suggestions about what else might be important to capture when measuring outcomes. The focus groups raised a number of issues pertinent to routine outcomes monitoring in general, including the reliability of answers, the need for the measures to reflect more than just a tick-box approach and that different people will have different perspectives. Analysis also focused on feedback about the three specific measures discussed. It is important that service users are involved in the process of outcome measurement, from the development of measures, to their application in therapeutic encounters and in service development. Outcome monitoring needs to become a more collaborative process in order that services are measuring what service users think is important, as most would agree that a service should deliver the outcomes that its users want to see.","10.1177/1359104510391859","London",2011,"","TIC000227"
"other things","Preoperative blood tests: an expensive tick box exercise.","Journal of perioperative practice","The purpose of preoperative investigations is to provide diagnostic and prognostic information. Preoperative tests requested for a cohort of patients admitted for simple trauma related procedures were retrospectively reviewed. Adherence to the NICE guidelines was found to be 5%. No result from a blood test led to a change in the management of the patient. The authors believe that implementation of the NICE guidelines will reduce clinical time and result in huge financial savings for individual institutions.","10.1177/175045891102101204","Nice",2011,"","TIC000228"
"other things","Questionnaire-based survey on distribution and clinical incidence of canine babesiosis in France.","BMC veterinary research","The causative agent of canine babesiosis is the protozoan Babesia canis, transmitted by the tick Dermacentor reticulatus within France. While the parasite can be found everywhere in France however cases of infection are associated with distinct geographical foci. The aim of the study was to evaluate the clinical occurrence of canine babesiosis diagnosed in veterinary clinics in order to propose an updated map of the disease distribution in France.Questionnaires were sent via email to all canine veterinary clinics in continental France. Information collected included the number of babesiosis cases diagnosed in 2010, the number of veterinary practitioners and the location of the clinic. The total number of dogs and practitioners per administrative department were used to define the reference population. The annual incidence rate of canine babesiosis per department was calculated as the ratio between the number of babesiosis cases reported by the clinics and the total number of dogs in the clinics of the same department. Data were geo-referenced for map construction (Quantum GIS version 1.7.4). The overall annual incidence rate of clinical babesiosis among the surveyed population was 1.07% (CI95 1.05-1.09) with geographical variations between departments, ranging from 0.01% to 16.05%. Four enzootic areas were identified: South-West, Center, East and Paris area. The South-West region should be considered as a hyper-enzootic area with the higher incidence rates.Our results confirmed the burden of canine babesiosis in France. In the context of tick-borne disease emergence in Europe, the risk for canine babesiosis may become more significant in other European countries in the coming years.","10.1186/1746-6148-9-41","Paris",2013,"","TIC000229"
"other things","Ticking on Pandora's box: a prospective case-control study into 'other' tick-borne diseases.","BMC infectious diseases","Tick-borne pathogens other than Borrelia burgdorferi sensu lato - the causative agent of Lyme borreliosis - are common in Ixodes ricinus ticks. How often these pathogens cause human disease is unknown. In addition, diagnostic tools to identify such diseases are lacking or reserved to research laboratories. To elucidate their prevalence and disease burden, the study 'Ticking on Pandora's Box' has been initiated, a collaborative effort between Amsterdam University Medical Center and the National Institute for Public Health and the Environment.The study investigates how often the tick-borne pathogens Anaplasma phagocytophilum, Babesia species, Borrelia miyamotoi, Neoehrlichia mikurensis, spotted fever group Rickettsia species and/or tick-borne encephalitis virus cause an acute febrile illness after tick-bite. We aim to determine the impact and severity of these tick-borne diseases in the Netherlands by measuring their prevalence and describing their clinical picture and course of disease. The study is designed as a prospective case-control study. We aim to include 150 cases - individuals clinically suspected of a tick-borne disease - and 3 matched healthy control groups of 200 persons each. The controls consist respectively of a group of individuals with either a tick-bite without complaints, the general population and of healthy blood donors. During a one-year follow-up we will acquire blood, urine and skin biopsy samples and ticks at baseline, 4 and 12&#x2009;weeks. Additionally, participants answer modified versions of validated questionnaires to assess self-reported symptoms, among which the SF-36, on a 3 monthly basis.This article describes the background and design of the study protocol of 'Ticking on Pandora's Box'. With our study we hope to provide insight into the prevalence, clinical presentation and disease burden of the tick-borne diseases anaplasmosis, babesiosis, B. miyamotoi disease, neoehrlichiosis, rickettsiosis and tick-borne encephalitis and to assist in test development as well as provide recommendations for national guidelines.NL9258 (retrospectively registered at Netherlands Trial Register, trialregister.nl in in February 2021).","10.1186/s12879-021-06190-9","Amsterdam",2021,"","TIC000230"
"other things","Acceptance of diagnosis and management satisfaction of patients with ""suspected Lyme borreliosis"" after 12&#xa0;months in a multidisciplinary reference center: a prospective cohort study.","BMC infectious diseases","Because patients with a ""suspicion of Lyme borreliosis (LB)"" may experience medical wandering and difficult care paths, often due to misinformation, multidisciplinary care centers were started all over Europe a few years ago. The aim of our study was to prospectively identify the factors associated with the acceptance of&#xa0;diagnosis and management satisfaction of patients, and to assess the concordance of the medical health assessment between physicians and patients 12&#xa0;months after their management at our multidisciplinary center.We included all adults who were admitted to the Tick-Borne Diseases Reference Center of Paris and the Northern Region (TBD-RC) (2017-2020). A telephone satisfaction survey was conducted 12&#xa0;months after their first consultation. It consisted of 5 domains and 13 items rated between 0 (lowest) and 10 (highest grade): (1)Reception; (2)Care and quality of management; (3)Information/explanations given to the patients; (4)Current medical condition and acceptance of the final diagnosis; (5)Overall appreciation. Factors associated with diagnosis acceptance and management satisfaction at 12&#xa0;months were identified using logistic regression models. The concordance of the health status as assessed by doctors and patients was calculated using a Cohen's kappa test.Of the 569 patients who consulted, 349 (61.3%) answered the questionnaire. Overall appreciation had a median rating of 9 [8;10] and 280/349 (80.2%) accepted their diagnoses. Patients who were ""very satisfied"" with their care paths at TBD-RC (OR&#x2009;=&#x2009;4.64;CI95%[1.52-14.16]) had higher odds of diagnosis acceptance. Well-delivered information was strongly associated with better satisfaction with the management (OR&#x2009;=&#x2009;23.39;CI95%[3.52-155.54]). The concordance between patients and physicians to assess their health status 12&#xa0;months after their management at TBD-RC was almost perfect in the groups of those with confirmed and possible LB (&#x3ba;&#x2009;=&#x2009;0.99), and moderate in the group with other diagnoses (&#x3ba;&#x2009;=&#x2009;0.43).Patients seemed to approve of this multidisciplinary care organization for suspected LB. It helped them to accept their final diagnoses and enabled a high level of satisfaction with the information given by the doctors, confirming the importance of shared medical decisions, which may help to reduce health misinformation. This type of structure may be useful for any disease with a complex and controversial diagnosis.","10.1186/s12879-023-08352-3","Paris",2023,"","TIC000231"
